symbol,direction,entry_time,exit_time,entry_price,exit_price,z_at_entry,spy_z_at_entry,outperformance_at_entry,avg_move,qty,hold_hours,minutes_since_open,exit_reason
META,Long,2021-12-13T15:00:00+00:00,2021-12-13T20:45:00+00:00,337.6000,336.2700,2.3275,0.0000,2.3275,0.0095,74.00,5.7500,30,eod
META,Short,2021-12-13T15:05:00+00:00,2021-12-13T20:45:00+00:00,340.1300,336.2700,3.0667,0.0000,3.0667,0.0097,-73.00,5.6667,35,eod
T,Short,2021-12-13T15:00:00+00:00,2021-12-13T20:45:00+00:00,16.8400,16.9800,-2.1324,0.0000,-2.1324,0.0055,-1484.00,5.7500,30,eod
NVDA,Short,2021-12-14T15:20:00+00:00,2021-12-14T20:45:00+00:00,28.5300,28.2300,3.0757,0.0000,3.0757,0.0151,-879.00,5.4167,50,eod
MSFT,Short,2021-12-14T15:00:00+00:00,2021-12-14T20:45:00+00:00,329.3000,328.2500,-2.3719,0.0000,-2.3719,0.0054,-76.00,5.7500,30,eod
BAC,Long,2021-12-14T15:00:00+00:00,2021-12-14T20:45:00+00:00,44.4500,44.2500,2.1203,0.0000,2.1203,0.0069,563.00,5.7500,30,eod
LOW,Long,2021-12-15T15:00:00+00:00,2021-12-15T20:45:00+00:00,253.8200,256.6900,2.8261,0.0000,2.8261,0.0049,98.00,5.7500,30,eod
SBUX,Short,2021-12-15T15:00:00+00:00,2021-12-15T20:45:00+00:00,113.7000,114.5100,-2.1721,0.0000,-2.1721,0.0054,-220.00,5.7500,30,eod
SBUX,Long,2021-12-15T16:35:00+00:00,2021-12-15T20:45:00+00:00,112.8100,114.5100,-3.1058,0.0000,-3.1058,0.0063,222.00,4.1667,125,eod
LLY,Short,2021-12-15T15:00:00+00:00,2021-12-15T20:45:00+00:00,267.4300,274.4300,4.3931,0.0000,4.3931,0.0084,-93.00,5.7500,30,eod
NVDA,Long,2021-12-16T15:00:00+00:00,2021-12-16T20:45:00+00:00,29.2800,28.3400,-3.0461,0.0000,-3.0461,0.0144,858.00,5.7500,30,eod
AAPL,Short,2021-12-16T15:00:00+00:00,2021-12-16T20:45:00+00:00,176.0800,172.7000,-2.6302,0.0000,-2.6302,0.0099,-142.00,5.7500,30,eod
LLY,Long,2021-12-16T15:00:00+00:00,2021-12-16T20:45:00+00:00,280.8900,278.8700,2.5868,0.0000,2.5868,0.0099,89.00,5.7500,30,eod
T,Short,2021-12-16T15:00:00+00:00,2021-12-16T20:45:00+00:00,17.6800,17.9100,3.3710,0.0000,3.3710,0.0065,-1421.00,5.7500,30,eod
AVGO,Long,2021-12-17T15:00:00+00:00,2021-12-17T20:45:00+00:00,62.6300,63.8500,1.7834,0.0000,1.7834,0.0066,396.00,5.7500,30,eod
SBUX,Short,2021-12-17T15:00:00+00:00,2021-12-17T20:45:00+00:00,109.6500,108.5000,-2.4129,0.0000,-2.4129,0.0063,-226.00,5.7500,30,eod
SBUX,Long,2021-12-17T15:10:00+00:00,2021-12-17T20:45:00+00:00,108.8100,108.5000,-3.1552,0.0000,-3.1552,0.0072,228.00,5.5833,40,eod
UNH,Short,2021-12-20T15:00:00+00:00,2021-12-20T17:15:00+00:00,476.5400,481.2700,-2.0667,0.0000,-2.0667,0.0046,-52.00,2.2500,30,reversal
NFLX,Long,2021-12-20T15:00:00+00:00,2021-12-20T20:45:00+00:00,59.7500,59.2400,2.7210,0.0000,2.7210,0.0075,418.00,5.7500,30,eod
NFLX,Short,2021-12-20T15:15:00+00:00,2021-12-20T20:45:00+00:00,60.2200,59.2400,3.1361,0.0000,3.1361,0.0091,-416.00,5.5000,45,eod
QCOM,Long,2021-12-21T15:25:00+00:00,2021-12-21T19:15:00+00:00,175.0400,179.0700,-3.0784,0.0000,-3.0784,0.0068,143.00,3.8333,55,reversal
GE,Long,2021-12-21T15:00:00+00:00,2021-12-21T20:45:00+00:00,58.0000,57.6600,1.9520,0.0000,1.9520,0.0094,432.00,5.7500,30,eod
HD,Short,2021-12-21T15:00:00+00:00,2021-12-21T20:45:00+00:00,385.2700,388.8500,-2.8790,0.0000,-2.8790,0.0056,-65.00,5.7500,30,eod
MU,Short,2021-12-22T15:00:00+00:00,2021-12-22T17:00:00+00:00,89.2400,90.1500,-1.3865,0.0000,-1.3865,0.0063,-281.00,2.0000,30,reversal
BAC,Long,2021-12-22T15:00:00+00:00,2021-12-22T20:45:00+00:00,44.5000,44.2000,1.4471,0.0000,1.4471,0.0067,564.00,5.7500,30,eod
HD,Short,2021-12-23T16:25:00+00:00,2021-12-23T19:50:00+00:00,394.6200,397.9000,-1.0297,0.0000,-1.0297,0.0080,-63.00,3.4167,115,reversal
MU,Short,2021-12-23T15:00:00+00:00,2021-12-23T20:45:00+00:00,93.6300,94.6600,3.5411,0.0000,3.5411,0.0077,-266.00,5.7500,30,eod
CAT,Long,2021-12-23T15:00:00+00:00,2021-12-23T20:45:00+00:00,206.6100,206.7400,2.1071,0.0000,2.1071,0.0046,120.00,5.7500,30,eod
AMD,Long,2021-12-27T15:00:00+00:00,2021-12-27T20:45:00+00:00,151.5500,154.0500,2.1798,0.0000,2.1798,0.0103,163.00,5.7500,30,eod
XOM,Short,2021-12-27T16:55:00+00:00,2021-12-27T20:45:00+00:00,61.5900,61.8900,3.0504,0.0000,3.0504,0.0058,-403.00,3.8333,145,eod
PYPL,Short,2021-12-27T15:00:00+00:00,2021-12-27T20:45:00+00:00,191.8100,191.6300,-1.5697,0.0000,-1.5697,0.0068,-129.00,5.7500,30,eod
SBUX,Long,2021-12-28T15:00:00+00:00,2021-12-28T20:45:00+00:00,115.5200,115.7300,1.5903,0.0000,1.5903,0.0052,215.00,5.7500,30,eod
PFE,Short,2021-12-28T15:00:00+00:00,2021-12-28T20:45:00+00:00,58.1200,58.0400,-1.4229,0.0000,-1.4229,0.0146,-427.00,5.7500,30,eod
DIS,Short,2021-12-28T15:00:00+00:00,2021-12-28T20:45:00+00:00,156.4900,155.4500,3.2119,0.0000,3.2119,0.0060,-158.00,5.7500,30,eod
NFLX,Short,2021-12-29T15:00:00+00:00,2021-12-29T20:45:00+00:00,60.6400,61.1300,-1.9639,0.0000,-1.9639,0.0056,-410.00,5.7500,30,eod
NKE,Long,2021-12-29T15:00:00+00:00,2021-12-29T20:45:00+00:00,168.7000,169.0300,1.4451,0.0000,1.4451,0.0046,147.00,5.7500,30,eod
NFLX,Long,2021-12-30T15:05:00+00:00,2021-12-30T20:40:00+00:00,62.0100,61.4500,1.3503,0.0000,1.3503,0.0061,400.00,5.5833,35,reversal
LIN,Short,2021-12-30T15:00:00+00:00,2021-12-30T20:45:00+00:00,344.2200,345.0600,-1.9947,0.0000,-1.9947,0.0026,-72.00,5.7500,30,eod
GOOGL,Short,2021-12-31T15:00:00+00:00,2021-12-31T20:45:00+00:00,145.3500,145.1800,-1.9168,0.0000,-1.9168,0.0048,-170.00,5.7500,30,eod
HD,Long,2021-12-31T15:15:00+00:00,2021-12-31T20:45:00+00:00,412.4500,415.9400,1.1057,0.0000,1.1057,0.0049,59.00,5.5000,45,eod
MSFT,Short,2022-01-03T15:00:00+00:00,2022-01-03T20:45:00+00:00,330.6500,334.1600,-3.1245,-1.6251,-1.4994,0.0058,-74.00,5.7500,30,eod
XOM,Short,2022-01-03T15:00:00+00:00,2022-01-03T20:45:00+00:00,62.7100,63.5700,2.6401,-1.6251,4.2651,0.0065,-395.00,5.7500,30,eod
LIN,Long,2022-01-03T15:50:00+00:00,2022-01-03T20:45:00+00:00,340.8800,338.9000,-3.5129,-0.0759,-3.4370,0.0043,72.00,4.9167,80,eod
BAC,Long,2022-01-03T15:00:00+00:00,2022-01-03T20:45:00+00:00,45.7800,46.1500,1.3662,-1.6251,2.9913,0.0055,541.00,5.7500,30,eod
PFE,Short,2022-01-04T15:05:00+00:00,2022-01-04T15:40:00+00:00,54.3900,54.4600,-2.3138,-1.2787,-1.0351,0.0126,-451.00,0.5833,35,reversal
SLB,Long,2022-01-04T15:00:00+00:00,2022-01-04T20:45:00+00:00,32.8500,33.2600,1.4804,-1.4860,2.9664,0.0087,748.00,5.7500,30,eod
DE,Short,2022-01-04T15:00:00+00:00,2022-01-04T20:45:00+00:00,364.3100,371.4300,4.3040,-1.4860,5.7899,0.0047,-67.00,5.7500,30,eod
UNH,Long,2022-01-04T18:15:00+00:00,2022-01-04T20:45:00+00:00,491.7700,492.8000,-5.9947,-2.6759,-3.3189,0.0037,49.00,2.5000,225,eod
QCOM,Short,2022-01-05T15:10:00+00:00,2022-01-05T20:45:00+00:00,190.7300,187.5500,4.0520,1.0141,3.0379,0.0066,-128.00,5.5833,40,eod
DE,Long,2022-01-05T15:00:00+00:00,2022-01-05T20:45:00+00:00,381.7100,372.3200,2.9050,1.7111,1.1938,0.0058,64.00,5.7500,30,eod
GE,Short,2022-01-05T15:00:00+00:00,2022-01-05T20:45:00+00:00,62.4500,61.8900,-1.1884,1.7111,-2.8995,0.0075,-392.00,5.7500,30,eod
SBUX,Long,2022-01-05T15:00:00+00:00,2022-01-05T20:45:00+00:00,113.0600,110.6400,-1.9854,1.7111,-3.6966,0.0063,216.00,5.7500,30,eod
BAC,Long,2022-01-06T15:00:00+00:00,2022-01-06T15:25:00+00:00,47.7900,47.3600,0.4334,-2.5382,2.9716,0.0048,508.00,0.4167,30,reversal
UNH,Short,2022-01-06T15:00:00+00:00,2022-01-06T18:20:00+00:00,480.5300,478.0700,1.1689,-2.5382,3.7071,0.0046,-50.00,3.3333,30,reversal
GS,Short,2022-01-06T15:10:00+00:00,2022-01-06T20:45:00+00:00,388.5600,396.7300,-3.5651,-1.9569,-1.6081,0.0073,-62.00,5.5833,40,eod
GS,Long,2022-01-06T15:30:00+00:00,2022-01-06T20:45:00+00:00,389.4500,396.7300,-3.1445,0.2898,-3.4343,0.0075,61.00,5.2500,60,eod
